plot,mothID,mothID_format,count,total_basal_all,planttype,num_hostplants,category
3,"Hyphantria cunea (Drury, 1773)",Hyphantria cunea,1,6.106262398,wood,48,generalist
3,"Lacinipolia renigera (Stephens, 1829)",Lacinipolia renigera,3,0,wood,4,generalist
3,"Leucania ursula (Forbes, 1936)",Leucania ursula,1,0,wood,1,specialist
3,"Lochmaeus manteo Doubleday, 1841",Lochmaeus manteo,1,1.733399229,wood,12,generalist
3,"Malacosoma americana (Fabricius, 1793)",Malacosoma americana,2,3.115798333,wood,24,generalist
3,"Mythimna unipuncta (Haworth, 1809)",Mythimna unipuncta,1,0.003285773,wood,2,generalist
3,"Oneida lunulalis (Hulst, 1887)",Oneida lunulalis,1,1.285597155,wood,2,generalist
3,"Oreta rosea (Walker, 1855)",Oreta rosea,1,0.004363917,wood,2,generalist
3,"Palpita magniferalis (Walker, 1861)",Palpita magniferalis,1,0.035373399,wood,1,specialist
3,"Palpita magniferalis (Walker, 1861)",Palpita magniferalis,2,0.035373399,wood,1,specialist
3,"Paralobesia liriodendrana (Kearfott, 1904)",Paralobesia liriodendrana,1,2.846133924,wood,2,generalist
3,"Pero honestaria (Walker, 1860)",Pero honestaria,1,0.350871773,wood,1,specialist
3,"Phaecasiophora confixana (Walker, 1863)",Phaecasiophora confixana,1,0.002798041,wood,1,specialist
3,Phobetron pithecium,Phobetron pithecium,1,3.062006637,wood,15,generalist
3,Polygrammate hebraeicum,Polygrammate hebraeicum,1,0.028198606,wood,2,generalist
3,"Prochoerodes lineola (Goeze, 1781)",Prochoerodes lineola,2,2.241346348,wood,18,generalist
3,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,4,2.672475692,wood,8,generalist
3,"Psilocorsis reflexella Clemens, 1860",Psilocorsis reflexella,11,2.672475692,wood,8,generalist
3,"Psilocorsis reflexella Clemens, 1860 ",Psilocorsis reflexella,1,2.672475692,wood,8,generalist
3,"Pubitelphusa latifasciella (Chambers, 1875)",Pubitelphusa latifasciella,1,0.940462649,wood,1,specialist
3,"Pyrrharctia isabella (Smith, 1797)",Pyrrharctia isabella,1,1.31900679,wood,8,generalist
3,"Renia adspergillus (Bosc, [1800])",Renia adspergillus,1,0,wood,2,generalist
3,"Renia adspergillus (Bosc, [1800])",Renia adspergillus,2,0,wood,2,generalist
3,"Renia adspergillus (Bosc, [1800]) ",Renia adspergillus,2,0,wood,2,generalist
3,"Scolecocampa liburna (Geyer, 1837) ",Scolecocampa liburna,1,4.57762073,wood,7,generalist
3,Scopula limboundata,Scopula limboundata,1,0.379416925,wood,9,generalist
3,"Scopula limboundata (Haworth, 1809)",Scopula limboundata,1,0.379416925,wood,9,generalist
3,"Scopula limboundata (Haworth, 1809) ",Scopula limboundata,1,0.379416925,wood,9,generalist
3,Speranza pustularia,Speranza pustularia,1,2.238060575,wood,4,generalist
3,"Spilosoma virginica (Fabricius, 1798",Spilosoma virginica,1,1.794532573,wood,18,generalist
3,"Tetanolita floridana Smith, 1895",Tetanolita floridana,2,0.940462649,wood,2,generalist
3,"Xestia dolosa Franclemont, 1980",Xestia dolosa,2,0.945648009,wood,8,generalist
3,"Xestia dolosa Franclemont, 1980",Xestia dolosa,3,0.945648009,wood,8,generalist
3,"Lomographa vestaliata (Guenée, [1858])",Lomographa vestaliata,7,2.712508214,wood,10,generalist
4,"Zanclognatha cruralis (Guenée, 1854)",Zanclognatha cruralis,1,0,wood,5,generalist
4,"Lomographa vestaliata (Guenée, [1858])",Lomographa vestaliata,2,0.32077358,wood,10,generalist
4,"Acronicta interrupta (Guenée, 1852) ",Acronicta interrupta,2,1.145464074,wood,12,generalist
4,"Panopoda rufimargo (Hübner, 1818)",Panopoda rufimargo,1,0.264093997,wood,5,generalist
4,"Cabera erythemaria Guenée, [1858]",Cabera erythemaria,2,1.086936244,wood,3,generalist
